url,appId,title,summary,developer,developerId,icon,score,price,free
https://play.google.com/store/apps/details?id=emotional.intelligence,emotional.intelligence,Emotional Intelligence EQ  IQ,"EQ is ability to identify, use, understand, and manage emotions in positive ways",Nicholas Gabriel,Nicholas+Gabriel,//lh4.ggpht.com/2jPRKq9xatZyqwobPe2CNYYZmnB5smzDt7LEN52-xXQA9v9Dkw_ObBYGCzEoCZxSRlWI=w340,3.9,0,True
https://play.google.com/store/apps/details?id=com.goodroom.stickerslineemotion,com.goodroom.stickerslineemotion,Stickers Line Emotion,Stickers Line Emotion easy to use,Goodroom,Goodroom,//lh3.ggpht.com/83_KGItrn2flxXXNMBXhf9aYAOLN0TLZli_cxeWFsY29d0aItr-9NE4UiDacQMtv7Y0=w340,4,0,True
https://play.google.com/store/apps/details?id=com.thunkable.android.top5hosting.EmotionRecognizer,com.thunkable.android.top5hosting.EmotionRecognizer,Emotion Recognizer,Advanced Emotion Recognition to analyze emotions in photos,Cyberforce Design,Cyberforce+Design,//lh3.googleusercontent.com/R5Jzqv114nmaX1E98BJRmlOhgA1vgUSQ9K9qqc1MMU_lsvcThpr2-icS4XnYTqncRiND=w340,5,0,True
https://play.google.com/store/apps/details?id=com.hoopoe.emotionkitlite,com.hoopoe.emotionkitlite,Emotion Kit. Lite,"It will help teach children to distinguish between emotions, understand causes",Hoopoe Games,7300105197927346086,//lh3.googleusercontent.com/EGiQ00-9rs69nMqTRHNQL0F1DOMozy3LB2UQLYd-bg5unlAySwOEojExJAU95QhRZ0c=w340,undefined,0,True
https://play.google.com/store/apps/details?id=Emotion.ERT,Emotion.ERT,Emotion Recognition Test,,Gnosis Facialis,Gnosis+Facialis,https://lh3.ggpht.com/VvNQwh7ghF0JJ2zSRSAUKYbHuGQUJbN4pB-7qmRn04iPYRc8n2J7YpGyK6mZ1zY8-Q=w340,3.5,$3.96,False
https://play.google.com/store/apps/details?id=com.ak.jourknow,com.ak.jourknow,Jourknow- Voice& Emotion Diary,"Improve your emotions via diary! Voice journal, auto detect mood! Track progress",Jourknow,4967898390901804874,//lh3.googleusercontent.com/A7Yo0AYg0q8KNJNlnstH4kUspUQEvuHjoWI6wig9Cs_iknRq58qwyepsr215PjV8Qw=w340,3,0,True
https://play.google.com/store/apps/details?id=com.pressmatrix.emotion,com.pressmatrix.emotion,EMOTION – Frauenmagazin,EMOTION is a modern women's magazine.,Inspiring Network GmbH & Co KG,Inspiring+Network+GmbH+%26+Co+KG,//lh3.googleusercontent.com/l6zA0S3hcPjgt_rXObdv6L8L9nxSZsVQeM2kpJ5aTHCE3Ew5ZDXZJZ7AwwArU8XftHg=w340,2.7,0,True
https://play.google.com/store/apps/details?id=com.skp.launcher.Travel_diary,com.skp.launcher.Travel_diary,Emotion Travel diary Launcher theme,"Smart, Simple, Fast and Incredible Air Launcher",SK techx for themes,SK+techx+for+themes,//lh3.googleusercontent.com/hqcWaJ0RuU7l15MqAyH3IbZV0RZ_Ao0HdG3q-Out7TMwK_FGIVqh24mLWk_dtzgMg4s=w340,4.7,0,True
https://play.google.com/store/apps/details?id=com.nexcube.winkia.emo,com.nexcube.winkia.emo,WINKIA EMO(Emotion mood Diary),WINKIA EMO is a free allows you to record your emotions just like a diary.,NEXCUBE (WINKIA),NEXCUBE+(WINKIA),//lh3.googleusercontent.com/BqImUyJSZXZG2O-sIi2fY4JE6T6R9Imx6OIpe1p9VyciqyPEyWv-vlsLWReD7UV8EXI=w340,3.7,0,True
https://play.google.com/store/apps/details?id=com.freshapps.kaseybaughan.emotioncode,com.freshapps.kaseybaughan.emotioncode,Emotion Code,Release your trapped emotions by using the Emotion Code.,"Wellness Unmasked, Inc.","Wellness+Unmasked,+Inc.",//lh3.googleusercontent.com/OlVoTWXerVk6RJ3Gi3wfyJImbpGub_m9gW0eVxokavFwMLF5pbKDHLK1cYHtUOTKGwS_=w340,5,$1.99,False
https://play.google.com/store/apps/details?id=com.ionicframework.shareemo410226,com.ionicframework.shareemo410226,Share Emotion,Feeling sad?? Feeling happy?? Have Nobody?? No worries. Share it anonymously!,SewaSoft,SewaSoft,//lh3.googleusercontent.com/rl8Is8252H-3LUjEo2b10GM3rbvQPe0TZemacHm6jSlJbl3ubRCyYX2TpKn2dJcd8g=w340,4,0,True
https://play.google.com/store/apps/details?id=de.ls.remote.v2,de.ls.remote.v2,L&S Emotion,Control your L&S lighting solutions with the L&S Emotion app.,L&S Deutschland GmbH,L%26S+Deutschland+GmbH,//lh3.googleusercontent.com/rPlrBThU_BNPdsPRTBbzhyQ-LUjwvw5bh0Hipx1OrlP2mam6VQXIQiBgu1xUZeKgZnz1=w340,undefined,0,True
https://play.google.com/store/apps/details?id=es.emotioncards.emotioncards,es.emotioncards.emotioncards,Emotion Cards,Emotion Cards are cards full of emotions.,Manantial de Ideas S.L.,Manantial+de+Ideas+S.L.,//lh3.googleusercontent.com/wYkiaf_CUdbWa0p84FA2MTWLXJ86agvdIrYBGS5mKmZp5YQqFvyLGU276QIWqdHhECYU=w340,undefined,0,True
https://play.google.com/store/apps/details?id=com.hoopoe.emotionkit,com.hoopoe.emotionkit,Emotion KIT,"It will help teach children to distinguish between emotions, understand causes",Hoopoe Games,7300105197927346086,//lh3.googleusercontent.com/PLNsvmQshUrveiS3HsX_Nq5_wJH9bLZqxxsovsazI3LhH9kP0RkVMdEV51WHDpwS060=w340,undefined,$0.99,False
https://play.google.com/store/apps/details?id=com.ionicframework.myapp930596,com.ionicframework.myapp930596,Essential Emotions Reference,A reference guide that helps you identify and process your emotions.,Junto Holdings,Junto+Holdings,//lh3.googleusercontent.com/JqWkq48NkscahgVLA_MiEr2UlW-nTIukidFFVZod-otsBsGrVsdqSO_NGidfQ-Q4_94=w340,3.8,$9.99,False
